time,latitude,longitude,place
2020-05-19T14:11:34.000Z,38.1342,-118.077,"64km SE of Hawthorne, Nevada"
2020-05-19T13:52:02.770Z,38.179,-117.9668,"65km W of Tonopah, Nevada"
2020-05-19T13:47:18.670Z,38.1437,-117.9378,"62km W of Tonopah, Nevada"
2020-05-19T13:45:58.150Z,38.1538,-117.9647,"65km W of Tonopah, Nevada"
2020-05-19T13:44:31.470Z,38.1648,-118.0277,"65km SE of Hawthorne, Nevada"
2020-05-19T13:42:42.190Z,38.172,-117.8305,"53km WNW of Tonopah, Nevada"
2020-05-19T13:38:45.281Z,38.1512,-118.0284,"66km SE of Hawthorne, Nevada"
2020-05-19T13:37:25.960Z,38.1418,-117.9773,"66km W of Tonopah, Nevada"
2020-05-19T13:30:52.490Z,38.1717,-117.9753,"66km W of Tonopah, Nevada"
2020-05-19T13:26:42.490Z,38.1595,-117.9255,"61km W of Tonopah, Nevada"
2020-05-19T13:23:10.480Z,38.1737,-117.8253,"53km WNW of Tonopah, Nevada"
2020-05-19T13:21:34.080Z,38.1718,-117.9472,"61km WNW of Tonopah, Nevada"
2020-05-19T13:19:15.819Z,44.2181,-115.1198,"71km NE of Idaho City, Idaho"
2020-05-19T13:17:19.770Z,38.1502,-117.9912,"67km W of Tonopah, Nevada"
2020-05-19T13:15:25.700Z,38.1455,-117.9665,"65km W of Tonopah, Nevada"
2020-05-19T13:10:42.480Z,38.184,-117.8613,"56km WNW of Tonopah, Nevada"
2020-05-19T13:07:49.540Z,38.1797,-117.8697,"57km WNW of Tonopah, Nevada"
2020-05-19T13:03:18.930Z,38.1975,-117.7245,"45km WNW of Tonopah, Nevada"
2020-05-19T13:01:11.144Z,60.0987,-152.497,"44km SSE of Redoubt Volcano, Alaska"
2020-05-19T13:00:05.584Z,61.5484,-149.8239,"7km ENE of Big Lake, Alaska"
2020-05-19T12:59:17.843Z,64.1335,-145.5689,"13km NE of Delta Junction, Alaska"
2020-05-19T12:58:34.530Z,37.8996658,-122.2176666,"4km NW of Orinda, CA"
2020-05-19T12:58:17.400Z,38.251,-117.8487,"57km WNW of Tonopah, Nevada"
2020-05-19T12:52:48.232Z,65.2937,-162.458,"165km ENE of Nome, Alaska"
2020-05-19T12:50:26.330Z,38.2632,-117.7797,"52km WNW of Tonopah, Nevada"
2020-05-19T12:50:02.580Z,38.2182,-117.8225,"54km WNW of Tonopah, Nevada"
2020-05-19T12:47:17.790Z,33.7975,-117.6291667,"10km SW of Corona, CA"
2020-05-19T12:46:58.240Z,38.1682,-118.0528,"63km SE of Hawthorne, Nevada"
2020-05-19T12:43:03.329Z,60.0754,-141.3516,"60km E of Cape Yakataga, Alaska"
2020-05-19T12:38:31.260Z,38.0195,-117.821,"52km W of Tonopah, Nevada"
2020-05-19T12:38:08.250Z,63.345,-149.0102,"5km SSW of Cantwell, Alaska"
2020-05-19T12:32:35.150Z,34.0185,-117.2268333,"5km SE of Loma Linda, CA"
2020-05-19T12:29:36.800Z,38.181,-117.7972,"51km WNW of Tonopah, Nevada"
2020-05-19T12:19:23.720Z,38.8240013,-122.8433304,"9km NW of The Geysers, CA"
2020-05-19T12:16:10.490Z,44.3606667,-115.2083333,"68km ESE of Cascade, Idaho"
2020-05-19T12:13:41.649Z,63.0376,-151.3586,"102km NW of Talkeetna, Alaska"
2020-05-19T12:09:48.930Z,44.7928333,-111.0375,"15km NNE of West Yellowstone, Montana"
2020-05-19T12:07:59.400Z,38.2183,-117.789,"51km WNW of Tonopah, Nevada"
2020-05-19T12:07:26.620Z,37.6399994,-119.4156647,"18km SE of Yosemite Valley, CA"
2020-05-19T12:03:29.940Z,34.0178333,-117.225,"5km SE of Loma Linda, CA"
2020-05-19T12:01:21.530Z,36.1286659,-117.8203354,"15km NE of Coso Junction, CA"
2020-05-19T11:58:20.050Z,44.2875,-115.0375,"68km WSW of Challis, Idaho"
2020-05-19T11:57:20.510Z,38.1637,-117.8288,"53km WNW of Tonopah, Nevada"
2020-05-19T11:56:08.040Z,38.1282,-117.8108,"51km W of Tonopah, Nevada"
2020-05-19T11:56:01.800Z,44.1236667,-115.1015,"67km ENE of Idaho City, Idaho"
2020-05-19T11:51:45.990Z,38.1247,-117.8002,"50km W of Tonopah, Nevada"
2020-05-19T11:42:23.210Z,38.177,-117.8045,"51km WNW of Tonopah, Nevada"
2020-05-19T11:30:55.270Z,38.1302,-118.0237,"68km SE of Hawthorne, Nevada"
2020-05-19T11:30:10.800Z,38.208,-117.7635,"49km WNW of Tonopah, Nevada"
2020-05-19T11:24:09.337Z,62.2371,-148.5268,"51km NNE of Sutton-Alpine, Alaska"
2020-05-19T11:23:31.470Z,38.1818,-117.7902,"50km WNW of Tonopah, Nevada"
2020-05-19T11:21:09.869Z,60.0643,-141.2366,"66km E of Cape Yakataga, Alaska"
2020-05-19T11:18:23.070Z,44.1043333,-115.0908333,"67km ENE of Idaho City, Idaho"
2020-05-19T11:18:07.210Z,38.1852,-117.7985,"51km WNW of Tonopah, Nevada"
2020-05-19T11:15:39.760Z,38.7971649,-122.8079987,"5km WNW of The Geysers, CA"
2020-05-19T11:13:58.634Z,13.0065,143.5725,"122km WSW of Merizo Village, Guam"
2020-05-19T11:08:57.970Z,38.159,-117.8698,"57km W of Tonopah, Nevada"
2020-05-19T11:08:09.940Z,44.2595,-115.0746667,"72km WSW of Challis, Idaho"
2020-05-19T11:06:57.790Z,17.9365,-66.632,"8km SSW of Ponce, Puerto Rico"
2020-05-19T11:03:44.810Z,38.2237,-117.9,"61km WNW of Tonopah, Nevada"
2020-05-19T10:58:43.114Z,38.1776,-117.7921,"51km WNW of Tonopah, Nevada"
2020-05-19T10:55:37.920Z,38.2242,-117.7872,"51km WNW of Tonopah, Nevada"
2020-05-19T10:54:07.449Z,38.1093,-118.1041,"64km SE of Hawthorne, Nevada"
2020-05-19T10:50:55.485Z,62.2826,-151.811,"88km W of Talkeetna, Alaska"
2020-05-19T10:50:53.869Z,60.1275,-141.2933,"63km E of Cape Yakataga, Alaska"
2020-05-19T10:49:38.960Z,38.1533,-118.0005,"68km SE of Hawthorne, Nevada"
2020-05-19T10:46:32.280Z,38.1057,-118.0158,"69km W of Tonopah, Nevada"
2020-05-19T10:46:16.608Z,38.154,-118.0282,"66km SE of Hawthorne, Nevada"
2020-05-19T10:42:17.839Z,38.2098,-117.7966,"52km WNW of Tonopah, Nevada"
2020-05-19T10:38:38.750Z,36.52916667,-98.98183333,"22km ENE of Mooreland, Oklahoma"
2020-05-19T10:36:37.706Z,38.1591,-117.859,"54km WNW of Tonopah, Nevada"
2020-05-19T10:34:47.680Z,38.1305,-118.0725,"65km SE of Hawthorne, Nevada"
2020-05-19T10:26:07.020Z,38.17,-117.8975,"59km WNW of Tonopah, Nevada"
2020-05-19T10:26:00.555Z,62.4507,-151.8257,"89km W of Talkeetna, Alaska"
2020-05-19T10:24:50.160Z,38.1965,-117.825,"54km WNW of Tonopah, Nevada"
2020-05-19T10:23:26.340Z,38.1993,-117.7555,"48km WNW of Tonopah, Nevada"
2020-05-19T10:19:32.200Z,38.1385,-118.0608,"65km SE of Hawthorne, Nevada"
2020-05-19T10:19:26.790Z,40.3031654,-124.0238342,"22km E of Petrolia, CA"
2020-05-19T10:18:08.360Z,42.008,-112.4561667,"26km SW of Malad City, Idaho"
2020-05-19T10:17:17.636Z,61.448,-150.0735,"10km SW of Big Lake, Alaska"
2020-05-19T10:16:08.030Z,38.8209991,-122.7883301,"6km NNW of The Geysers, CA"
2020-05-19T10:15:34.500Z,38.217,-117.7903,"51km WNW of Tonopah, Nevada"
2020-05-19T10:10:21.500Z,38.1443,-117.9965,"67km W of Tonopah, Nevada"
2020-05-19T10:08:41.910Z,38.2012,-117.7363,"46km WNW of Tonopah, Nevada"
2020-05-19T10:02:39.730Z,33.9838333,-116.9881667,"6km E of Calimesa, CA"
